grade,subject,subject_slug,chapter_number,chapter_title,r2_key,status,error
11,Physics,physics,2,Motion in a Straight Line,chapter-covers/grade-11/physics/chapter-02-motion-in-a-straight-line.jpg,UPLOADED,
11,Physics,physics,3,Motion in a Plane,chapter-covers/grade-11/physics/chapter-03-motion-in-a-plane.jpg,UPLOADED,
11,Physics,physics,4,Laws of Motion,chapter-covers/grade-11/physics/chapter-04-laws-of-motion.jpg,UPLOADED,
11,Physics,physics,5,"Work, Energy and Power",chapter-covers/grade-11/physics/chapter-05-work-energy-and-power.jpg,UPLOADED,
11,Physics,physics,6,Systems of Particles and Rotational Motion,chapter-covers/grade-11/physics/chapter-06-systems-of-particles-and-rotational-motion.jpg,UPLOADED,
11,Physics,physics,7,Gravitation,chapter-covers/grade-11/physics/chapter-07-gravitation.jpg,UPLOADED,
11,Physics,physics,8,Mechanical Properties of Solids,chapter-covers/grade-11/physics/chapter-08-mechanical-properties-of-solids.jpg,UPLOADED,
11,Physics,physics,9,Mechanical Properties of Fluids,chapter-covers/grade-11/physics/chapter-09-mechanical-properties-of-fluids.jpg,UPLOADED,
11,Physics,physics,10,Thermal Properties of Matter,chapter-covers/grade-11/physics/chapter-10-thermal-properties-of-matter.jpg,UPLOADED,
11,Physics,physics,11,Thermodynamics,chapter-covers/grade-11/physics/chapter-11-thermodynamics.jpg,UPLOADED,
11,Physics,physics,12,Kinetic Theory,chapter-covers/grade-11/physics/chapter-12-kinetic-theory.jpg,UPLOADED,
11,Physics,physics,13,Oscillations,chapter-covers/grade-11/physics/chapter-13-oscillations.jpg,UPLOADED,
11,Physics,physics,14,Waves,chapter-covers/grade-11/physics/chapter-14-waves.jpg,UPLOADED,
12,Biology,biology,1,Sexual Reproduction in Flowering Plants,chapter-covers/grade-12/biology/chapter-01-sexual-reproduction-in-flowering-plants.jpg,UPLOADED,
12,Biology,biology,2,Human Reproduction,chapter-covers/grade-12/biology/chapter-02-human-reproduction.jpg,UPLOADED,
12,Biology,biology,3,Reproductive Health,chapter-covers/grade-12/biology/chapter-03-reproductive-health.jpg,UPLOADED,
12,Biology,biology,4,Principles of Inheritance and Variation,chapter-covers/grade-12/biology/chapter-04-principles-of-inheritance-and-variation.jpg,UPLOADED,
12,Biology,biology,5,MOLECULAR BASIS OF INHERITANCE,chapter-covers/grade-12/biology/chapter-05-molecular-basis-of-inheritance.jpg,UPLOADED,
12,Biology,biology,6,Evolution,chapter-covers/grade-12/biology/chapter-06-evolution.jpg,UPLOADED,
12,Biology,biology,7,Human Health and Disease,chapter-covers/grade-12/biology/chapter-07-human-health-and-disease.jpg,UPLOADED,
12,Biology,biology,8,Microbes in Human Welfare,chapter-covers/grade-12/biology/chapter-08-microbes-in-human-welfare.jpg,UPLOADED,
12,Biology,biology,9,Biotechnology : Principles and Processes,chapter-covers/grade-12/biology/chapter-09-biotechnology-principles-and-processes.jpg,UPLOADED,
12,Biology,biology,10,Biotechnology and Its Applications,chapter-covers/grade-12/biology/chapter-10-biotechnology-and-its-applications.jpg,UPLOADED,
12,Biology,biology,11,Organisms and Populations,chapter-covers/grade-12/biology/chapter-11-organisms-and-populations.jpg,UPLOADED,
12,Biology,biology,12,Ecosystem,chapter-covers/grade-12/biology/chapter-12-ecosystem.jpg,UPLOADED,
12,Biology,biology,13,Biodiversity and Conservation,chapter-covers/grade-12/biology/chapter-13-biodiversity-and-conservation.jpg,UPLOADED,
12,Chemistry,chemistry,1,Solutions,chapter-covers/grade-12/chemistry/chapter-01-solutions.jpg,UPLOADED,
12,Chemistry,chemistry,2,Electrochemistry,chapter-covers/grade-12/chemistry/chapter-02-electrochemistry.jpg,UPLOADED,
12,Chemistry,chemistry,3,Chemical Kinetics,chapter-covers/grade-12/chemistry/chapter-03-chemical-kinetics.jpg,UPLOADED,
12,Chemistry,chemistry,4,The d- and f-Block Elements,chapter-covers/grade-12/chemistry/chapter-04-the-d-and-f-block-elements.jpg,UPLOADED,
12,Chemistry,chemistry,5,Coordination Compounds,chapter-covers/grade-12/chemistry/chapter-05-coordination-compounds.jpg,UPLOADED,
12,Chemistry,chemistry,6,Haloalkanes and Haloarenes,chapter-covers/grade-12/chemistry/chapter-06-haloalkanes-and-haloarenes.jpg,UPLOADED,
12,Chemistry,chemistry,7,"Alcohols, Phenols and Ethers",chapter-covers/grade-12/chemistry/chapter-07-alcohols-phenols-and-ethers.jpg,UPLOADED,
12,Chemistry,chemistry,8,"Aldehydes, Ketones and Carboxylic Acids",chapter-covers/grade-12/chemistry/chapter-08-aldehydes-ketones-and-carboxylic-acids.jpg,UPLOADED,
12,Chemistry,chemistry,9,Amines,chapter-covers/grade-12/chemistry/chapter-09-amines.jpg,UPLOADED,
12,Chemistry,chemistry,10,Biomolecules,chapter-covers/grade-12/chemistry/chapter-10-biomolecules.jpg,UPLOADED,
12,Physics,physics,1,Electric Charges and Fields,chapter-covers/grade-12/physics/chapter-01-electric-charges-and-fields.jpg,EXISTS,
12,Physics,physics,2,Electrostatic Potential and Capacitance,chapter-covers/grade-12/physics/chapter-02-electrostatic-potential-and-capacitance.jpg,EXISTS,
12,Physics,physics,3,Current Electricity,chapter-covers/grade-12/physics/chapter-03-current-electricity.jpg,EXISTS,
12,Physics,physics,4,Moving Charges and Magnetism,chapter-covers/grade-12/physics/chapter-04-moving-charges-and-magnetism.jpg,EXISTS,
12,Physics,physics,5,Magnetism and Matter,chapter-covers/grade-12/physics/chapter-05-magnetism-and-matter.jpg,EXISTS,
12,Physics,physics,6,Electromagnetic Induction,chapter-covers/grade-12/physics/chapter-06-electromagnetic-induction.jpg,EXISTS,
12,Physics,physics,7,Alternating Current,chapter-covers/grade-12/physics/chapter-07-alternating-current.jpg,EXISTS,
12,Physics,physics,8,Electromagnetic Waves,chapter-covers/grade-12/physics/chapter-08-electromagnetic-waves.jpg,EXISTS,
12,Physics,physics,9,Ray Optics and Optical Instruments,chapter-covers/grade-12/physics/chapter-09-ray-optics-and-optical-instruments.jpg,EXISTS,
12,Physics,physics,10,Wave Optics,chapter-covers/grade-12/physics/chapter-10-wave-optics.jpg,EXISTS,
12,Physics,physics,11,Dual Nature of Radiation and Matter,chapter-covers/grade-12/physics/chapter-11-dual-nature-of-radiation-and-matter.jpg,EXISTS,
12,Physics,physics,12,Atoms,chapter-covers/grade-12/physics/chapter-12-atoms.jpg,EXISTS,
12,Physics,physics,13,Nuclei,chapter-covers/grade-12/physics/chapter-13-nuclei.jpg,EXISTS,
12,Physics,physics,14,"Semiconductor Electronics: Materials, Devices and Simple Circuits",chapter-covers/grade-12/physics/chapter-14-semiconductor-electronics-materials-devices-and-simple-circuits.jpg,EXISTS,
